Hyperparameter Set,Run,MSE,MRRt,BTL,,
Set 1,1,0.000377405,0.027312374,0.739004254,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.9.json'}"
Set 1,2,0.000377399,0.027312374,0.739004254,,
Set 1,3,0.000377405,0.027312374,0.739004254,,
Set 1,4,0.000377403,0.027312374,0.739004254,,
Set 1,5,0.000377401,0.027312374,0.739004254,,
Average,,0.000377402,0.027312374,0.739004254,,
,,,,,,
Set 2,1,0.000377427,0.027096375,0.614591467,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.925.json'}"
Set 2,2,0.000377424,0.027093835,0.588312475,,
Set 2,3,0.00037742,0.027023259,0.55171704,,
Set 2,4,0.000377421,0.027093835,0.588312475,,
Set 2,5,0.000377423,0.027093835,0.588312475,,
Average,,0.000377423,0.027080228,0.586249187,,
,,,,,,
Set 3,1,0.000377895,0.025625894,0.589445326,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.95.json'}"
Set 3,2,0.000377894,0.025625894,0.589445326,,
Set 3,3,0.000377895,0.025625894,0.589445326,,
Set 3,4,0.000377888,0.025625894,0.589445326,,
Set 3,5,0.000377906,0.025625894,0.589445326,,
Average,,0.000377896,0.025625894,0.589445326,,
,,,,,,
Set 4,1,0.000381384,0.024235268,0.492839546,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.975.json'}"
Set 4,2,0.000381372,0.024235268,0.492839546,,
Set 4,3,0.000381373,0.024109994,0.456269395,,
Set 4,4,0.000381345,0.024235268,0.492839546,,
Set 4,5,0.000381407,0.024235268,0.492839546,,
Average,,0.000381376,0.024210214,0.485525516,,
,,,,,,
Set 5,1,0.000397478,0.022750254,0.371647112,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.99.json'}"
Set 5,2,0.000397451,0.022750254,0.371647112,,
Set 5,3,0.000397446,0.022750254,0.371647112,,
Set 5,4,0.000397342,0.022750254,0.371647112,,
Set 5,5,0.000397364,0.022750254,0.371647112,,
Average,,0.000397416,0.022750254,0.371647112,,
